grid	laps	year	round	circuit_enc	constructor_enc	driver_enc	result_class
continuous	continuous	continuous	continuous	discrete	discrete	discrete	discrete
							class
1	58	2008	1	0	0	0	Podium
5	58	2008	1	0	1	1	Podium
7	58	2008	1	0	2	2	Podium
11	58	2008	1	0	3	3	Points
3	58	2008	1	0	0	4	Points
13	57	2008	1	0	2	5	Points
17	55	2008	1	0	4	6	DNF
15	53	2008	1	0	5	7	DNF
2	47	2008	1	0	1	8	DNF
18	43	2008	1	0	6	9	DNF
19	32	2008	1	0	7	10	DNF
20	30	2008	1	0	3	11	DNF
4	29	2008	1	0	5	12	DNF
8	25	2008	1	0	8	13	DNF
6	19	2008	1	0	6	14	DNF
22	8	2008	1	0	9	15	DNF
14	0	2008	1	0	8	16	DNF
12	0	2008	1	0	10	17	DNF
21	0	2008	1	0	7	18	DNF
9	0	2008	1	0	4	19	DNF
16	0	2008	1	0	9	20	DNF
10	58	2008	1	0	10	21	DNF
2	56	2008	2	1	5	7	Podium
4	56	2008	2	1	1	8	Podium
8	56	2008	2	1	0	4	Podium
3	56	2008	2	1	6	14	Points
9	56	2008	2	1	0	0	Points
5	56	2008	2	1	1	1	Points
6	56	2008	2	1	8	16	Points
7	56	2008	2	1	3	3	Points
12	56	2008	2	1	8	13	Points
11	56	2008	2	1	10	17	Points
13	56	2008	2	1	3	11	Outside_Points
17	55	2008	2	1	9	20	Outside_Points
14	55	2008	2	1	10	21	Outside_Points
16	55	2008	2	1	2	2	Outside_Points
21	55	2008	2	1	7	18	Outside_Points
19	54	2008	2	1	7	10	Outside_Points
22	54	2008	2	1	2	5	Outside_Points
15	39	2008	2	1	4	19	DNF
1	30	2008	2	1	5	12	DNF
20	5	2008	2	1	9	15	DNF
10	1	2008	2	1	6	9	DNF
18	0	2008	2	1	4	6	DNF
2	57	2008	3	2	5	12	Podium
4	57	2008	3	2	5	7	Podium
1	57	2008	3	2	1	8	Podium
6	57	2008	3	2	1	1	Points
5	57	2008	3	2	0	4	Points
7	57	2008	3	2	6	14	Points
11	57	2008	3	2	8	16	Points
8	57	2008	3	2	2	2	Points
13	57	2008	3	2	6	9	Points
10	57	2008	3	2	3	3	Points
12	57	2008	3	2	10	21	Outside_Points
18	56	2008	3	2	9	20	Outside_Points
3	56	2008	3	2	0	0	Outside_Points
16	56	2008	3	2	2	5	Outside_Points
15	56	2008	3	2	4	6	Outside_Points
21	56	2008	3	2	7	18	Outside_Points
22	56	2008	3	2	7	10	Outside_Points
17	56	2008	3	2	8	13	Outside_Points
20	56	2008	3	2	9	15	Outside_Points
14	40	2008	3	2	3	11	DNF
9	19	2008	3	2	10	17	DNF
19	0	2008	3	2	4	19	DNF
1	66	2008	4	3	5	7	Podium
3	66	2008	4	3	5	12	Podium
5	66	2008	4	3	0	0	Podium
4	66	2008	4	3	1	8	Points
7	66	2008	4	3	8	16	Points
13	66	2008	4	3	10	17	Points
12	66	2008	4	3	2	5	Points
8	66	2008	4	3	6	14	Points
9	66	2008	4	3	1	1	Points
19	65	2008	4	3	9	20	Points
14	65	2008	4	3	6	9	Outside_Points
17	65	2008	4	3	8	13	Outside_Points
22	65	2008	4	3	7	10	Outside_Points
15	41	2008	4	3	2	2	DNF
2	34	2008	4	3	3	3	DNF
11	34	2008	4	3	10	21	DNF
6	21	2008	4	3	0	4	DNF
21	8	2008	4	3	7	18	DNF
16	7	2008	4	3	4	6	DNF
10	6	2008	4	3	3	11	DNF
20	0	2008	4	3	9	15	DNF
18	0	2008	4	3	4	19	DNF
1	58	2008	5	4	5	12	Podium
3	58	2008	5	4	0	0	Podium
4	58	2008	5	4	5	7	Podium
5	58	2008	5	4	1	8	Points
9	58	2008	5	4	1	1	Points
7	58	2008	5	4	3	3	Points
6	58	2008	5	4	8	16	Points
11	58	2008	5	4	2	2	Points
10	58	2008	5	4	8	13	Points
8	58	2008	5	4	6	14	Points
13	57	2008	5	4	10	17	Outside_Points
2	57	2008	5	4	0	4	Outside_Points
15	57	2008	5	4	6	9	Outside_Points
12	57	2008	5	4	10	21	Outside_Points
17	57	2008	5	4	3	11	Outside_Points
19	57	2008	5	4	9	15	Outside_Points
14	57	2008	5	4	4	19	Outside_Points
18	24	2008	5	4	4	6	DNF
16	1	2008	5	4	2	5	DNF
20	0	2008	5	4	9	20	DNF
3	76	2008	6	5	0	0	Podium
5	76	2008	6	5	1	8	Podium
1	76	2008	6	5	5	12	Podium
9	76	2008	6	5	8	16	Points
19	76	2008	6	5	4	19	Points
14	76	2008	6	5	10	21	Points
13	76	2008	6	5	2	5	Points
4	76	2008	6	5	0	4	Points
2	76	2008	6	5	5	7	Points
7	75	2008	6	5	3	3	Points
11	75	2008	6	5	10	17	Outside_Points
10	75	2008	6	5	6	9	Outside_Points
8	75	2008	6	5	6	14	Outside_Points
12	72	2008	6	5	1	1	Outside_Points
18	67	2008	6	5	9	15	DNF
6	59	2008	6	5	2	2	DNF
17	47	2008	6	5	3	11	DNF
20	36	2008	6	5	9	20	DNF
15	7	2008	6	5	8	13	DNF
16	7	2008	6	5	4	6	DNF
2	70	2008	7	6	1	8	Podium
8	70	2008	7	6	1	1	Podium
13	70	2008	7	6	8	13	Podium
11	70	2008	7	6	6	9	Points
6	70	2008	7	6	5	12	Points
14	70	2008	7	6	6	14	Points
9	70	2008	7	6	10	21	Points
19	70	2008	7	6	4	19	Points
7	70	2008	7	6	0	4	Points
5	70	2008	7	6	2	2	Points
20	70	2008	7	6	10	17	Outside_Points
10	70	2008	7	6	8	16	Outside_Points
18	69	2008	7	6	4	6	Outside_Points
17	51	2008	7	6	9	20	DNF
12	46	2008	7	6	2	5	DNF
4	44	2008	7	6	3	3	DNF
15	43	2008	7	6	3	11	DNF
3	19	2008	7	6	5	7	DNF
1	19	2008	7	6	0	0	DNF
16	13	2008	7	6	9	15	DNF
2	70	2008	8	7	5	12	Podium
1	70	2008	8	7	5	7	Podium
4	70	2008	8	7	6	14	Podium
10	70	2008	8	7	0	4	Points
5	70	2008	8	7	1	8	Points
6	70	2008	8	7	8	16	Points
9	70	2008	8	7	3	11	Points
3	70	2008	8	7	3	3	Points
7	70	2008	8	7	8	13	Points
13	70	2008	8	7	0	0	Points
8	70	2008	8	7	6	9	Outside_Points
12	70	2008	8	7	4	19	Outside_Points
11	70	2008	8	7	1	1	Outside_Points
20	69	2008	8	7	10	21	Outside_Points
15	69	2008	8	7	2	5	Outside_Points
19	69	2008	8	7	2	2	Outside_Points
14	69	2008	8	7	4	6	Outside_Points
17	69	2008	8	7	9	20	Outside_Points
18	69	2008	8	7	9	15	Outside_Points
16	16	2008	8	7	10	17	DNF
4	60	2008	9	8	0	0	Podium
5	60	2008	9	8	1	1	Podium
16	60	2008	9	8	10	21	Podium
3	59	2008	9	8	5	7	Points
1	59	2008	9	8	0	4	Points
6	59	2008	9	8	3	3	Points
14	59	2008	9	8	6	14	Points
15	59	2008	9	8	2	5	Points
20	59	2008	9	8	2	2	Points
2	59	2008	9	8	8	16	Points
13	59	2008	9	8	4	6	Outside_Points
12	59	2008	9	8	6	9	Outside_Points
9	58	2008	9	8	5	12	Outside_Points
10	39	2008	9	8	1	8	DNF
17	38	2008	9	8	10	17	DNF
7	35	2008	9	8	3	11	DNF
19	16	2008	9	8	9	20	DNF
18	10	2008	9	8	9	15	DNF
8	0	2008	9	8	4	19	DNF
11	0	2008	9	8	8	13	DNF
1	67	2008	10	9	0	0	Podium
17	67	2008	10	9	3	11	Podium
2	67	2008	10	9	5	12	Podium
12	67	2008	10	9	1	1	Points
3	67	2008	10	9	0	4	Points
6	67	2008	10	9	5	7	Points
7	67	2008	10	9	1	8	Points
9	67	2008	10	9	4	19	Points
4	67	2008	10	9	6	14	Points
13	67	2008	10	9	2	2	Points
5	67	2008	10	9	3	3	Outside_Points
15	67	2008	10	9	4	6	Outside_Points
10	67	2008	10	9	8	13	Outside_Points
16	67	2008	10	9	2	5	Outside_Points
19	67	2008	10	9	9	15	Outside_Points
20	67	2008	10	9	9	20	Outside_Points
14	66	2008	10	9	10	17	Outside_Points
18	50	2008	10	9	10	21	DNF
8	40	2008	10	9	8	16	DNF
11	35	2008	10	9	6	9	DNF
2	70	2008	11	10	0	4	Podium
5	70	2008	11	10	6	9	Podium
6	70	2008	11	10	5	7	Podium
7	70	2008	11	10	3	3	Points
1	70	2008	11	10	0	0	Points
10	70	2008	11	10	3	11	Points
9	70	2008	11	10	6	14	Points
4	70	2008	11	10	1	8	Points
8	70	2008	11	10	8	16	Points
15	70	2008	11	10	1	1	Points
13	70	2008	11	10	8	13	Outside_Points
12	69	2008	11	10	10	17	Outside_Points
16	69	2008	11	10	2	5	Outside_Points
14	69	2008	11	10	2	2	Outside_Points
18	69	2008	11	10	9	20	Outside_Points
17	68	2008	11	10	10	21	Outside_Points
3	67	2008	11	10	5	12	DNF
19	67	2008	11	10	4	6	Outside_Points
20	62	2008	11	10	9	15	DNF
11	22	2008	11	10	4	19	DNF
1	57	2008	12	11	5	12	Podium
2	57	2008	12	11	0	0	Podium
3	57	2008	12	11	1	8	Podium
5	57	2008	12	11	0	4	Points
7	57	2008	12	11	6	14	Points
6	57	2008	12	11	4	19	Points
13	57	2008	12	11	6	9	Points
9	57	2008	12	11	2	2	Points
8	57	2008	12	11	1	1	Points
10	57	2008	12	11	4	6	Points
15	57	2008	12	11	3	11	Outside_Points
14	56	2008	12	11	8	16	Outside_Points
16	56	2008	12	11	10	17	Outside_Points
18	56	2008	12	11	9	20	Outside_Points
11	56	2008	12	11	2	5	Outside_Points
19	56	2008	12	11	10	21	Outside_Points
17	56	2008	12	11	8	13	Outside_Points
4	45	2008	12	11	5	7	DNF
20	41	2008	12	11	9	15	DNF
12	0	2008	12	11	3	3	DNF
2	44	2008	13	12	5	12	Podium
5	44	2008	13	12	1	1	Podium
1	44	2008	13	12	0	0	Podium
6	44	2008	13	12	3	3	Points
10	44	2008	13	12	4	19	Points
8	44	2008	13	12	1	8	Points
9	44	2008	13	12	4	6	Points
7	44	2008	13	12	8	16	Points
13	44	2008	13	12	6	9	Points
3	43	2008	13	12	0	4	DNF
14	43	2008	13	12	8	13	Outside_Points
15	43	2008	13	12	2	2	Outside_Points
18	43	2008	13	12	9	15	Outside_Points
19	43	2008	13	12	2	5	Outside_Points
17	43	2008	13	12	10	17	Outside_Points
11	43	2008	13	12	6	14	Outside_Points
20	43	2008	13	12	9	20	Outside_Points
4	42	2008	13	12	5	7	DNF
16	19	2008	13	12	10	21	DNF
12	13	2008	13	12	3	11	DNF
1	53	2008	14	13	4	19	Podium
2	53	2008	14	13	0	4	Podium
11	53	2008	14	13	1	8	Podium
8	53	2008	14	13	3	3	Points
10	53	2008	14	13	1	1	Points
6	53	2008	14	13	5	12	Points
15	53	2008	14	13	0	0	Points
3	53	2008	14	13	8	16	Points
14	53	2008	14	13	5	7	Points
